,S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
0,1,Adilabad,2014 - 2015,Kharif,cotton(lint),156.04,29.1,40.5,7.55,180,17.6,284,1.35,14,0.58,12.88,14.415,1.88
1,2,Adilabad,2015 - 2016,Kharif,cotton(lint),165.74,26.1,37.6,7.55,180,17.6,284,1.35,14,0.58,12.88,14.415,2.49
2,3,Adilabad,2016 - 2017,Kharif,cotton(lint),240.52,27.3,38.3,7.55,180,17.6,284,1.35,14,0.58,12.88,14.7,2.72
3,4,Adilabad,2017 - 2018,Kharif,cotton(lint),180.18,27.6,37.4,7.55,180,17.6,284,1.35,14,0.58,12.88,13.95,3.15
4,5,Adilabad,2018 - 2019,Kharif,cotton(lint),256.06,25.38,39.94,7.55,180,17.6,284,1.35,14,0.58,12.88,14.83,2.55
5,6,Adilabad,2019 - 2020,Kharif,cotton(lint),204.62,16.8,45.9,7.55,180,17.6,284,1.35,14,0.58,12.88,14.18,4.74
6,7,Bhadradri Kothagudem,2016 - 2017,Kharif,cotton(lint),250.18,27.2,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,13.07,3.38
7,8,Bhadradri Kothagudem,2017 - 2018,Kharif,cotton(lint),194.08,28.6,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.05,3.89
8,9,Bhadradri Kothagudem,2018 - 2019,Kharif,cotton(lint),205.84,25.8,40.0333333333333,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.31,2.43
9,10,Bhadradri Kothagudem,2019 - 2020,Kharif,cotton(lint),225.18,21.6,44.9,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,11.33,3.42
10,11,Jagtial,2016 - 2017,Kharif,cotton(lint),212.14,26.9,38.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,11.15,3.2
11,12,Jagtial,2017 - 2018,Kharif,cotton(lint),127.66,27.5,37.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,7.43,1.94
12,13,Jagtial,2018 - 2019,Kharif,cotton(lint),191.68,24.6,40.2666666666667,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,9.14,2.8
13,14,Jagtial,2019 - 2020,Kharif,cotton(lint),221.96,19.4,45.4,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,8.41,3.4
14,15,Jangoan,2016 - 2017,Kharif,cotton(lint),198.66,26,36.9,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,16.42,3.03
15,16,Jangoan,2017 - 2018,Kharif,cotton(lint),148,26.8,37.3,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.23,3.16
16,17,Jangoan,2018 - 2019,Kharif,cotton(lint),111.3,23.8666666666667,39.5333333333333,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,12.79,2.19
17,18,Jangoan,2019 - 2020,Kharif,cotton(lint),184.22,18.8,44.4,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.65,2.88
18,19,Jayashankar Bhoopalpally,2016 - 2017,Kharif,cotton(lint),237.16,27.8,38.5,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,11.92,3.03
19,20,Jayashankar Bhoopalpally,2017 - 2018,Kharif,cotton(lint),170.72,28.9,37.3,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.69,2.52
20,21,Jayashankar Bhoopalpally,2018 - 2019,Kharif,cotton(lint),217.76,25.9555555566667,40.4666666666667,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.42,2.92
21,22,Jayashankar Bhoopalpally,2019 - 2020,Kharif,cotton(lint),266.4,21.16666667,45.6,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,16.3,3.55
22,23,Jogulamba Gadwal,2016 - 2017,Kharif,cotton(lint),110.1,25.1,34.7,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,11.83,1.75
23,24,Jogulamba Gadwal,2017 - 2018,Kharif,cotton(lint),138.54,27.1,35.9,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.75,2.19
24,25,Jogulamba Gadwal,2018 - 2019,Kharif,cotton(lint),64.72,24.4666666666667,38.2333333333333,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.78,1.97
25,26,Jogulamba Gadwal,2019 - 2020,Kharif,cotton(lint),103.34,21.2,44.1,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,13.82,3.07
26,27,Kamareddy,2016 - 2017,Kharif,cotton(lint),242.58,25.4,36.2,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,20.81,2.31
27,28,Kamareddy,2017 - 2018,Kharif,cotton(lint),175.98,25.8,35.8,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,15.52,2.53
28,29,Kamareddy,2018 - 2019,Kharif,cotton(lint),145.38,25.6,36,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,16.84,3.64
29,30,Kamareddy,2019 - 2020,Kharif,cotton(lint),235.12,25.6,36,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,19.31,3.23
30,31,Karimnagar,2014 - 2015,Kharif,cotton(lint),92.36,30.5,40.6,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.4425,2.73
31,32,Karimnagar,2015 - 2016,Kharif,cotton(lint),134.44,26.9,38.7,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.4425,2.72
32,33,Karimnagar,2016 - 2017,Kharif,cotton(lint),192.88,26.8,37.9,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,15.65,3.2
33,34,Karimnagar,2017 - 2018,Kharif,cotton(lint),146.26,26.9,36.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,11.86,3.48
34,35,Karimnagar,2018 - 2019,Kharif,cotton(lint),152.1,27.775,38.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,12.7,2.19
35,36,Karimnagar,2019 - 2020,Kharif,cotton(lint),235.4,27.775,38.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.56,3.02
36,37,Khammam,2014 - 2015,Kharif,cotton(lint),165.22,29.7,40.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.8625,3.08
37,38,Khammam,2015 - 2016,Kharif,cotton(lint),212.66,27.2,37.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.8625,2.99
38,39,Khammam,2016 - 2017,Kharif,cotton(lint),196.24,27.3,36.8,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,10.43,3.38
39,40,Khammam,2017 - 2018,Kharif,cotton(lint),197.585,29,37.2,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,9.15,3.98
40,41,Khammam,2018 - 2019,Kharif,cotton(lint),204.596,27.06,39.4,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.32,2.24
41,42,Khammam,2019 - 2020,Kharif,cotton(lint),187.9066667,22.1,45,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,7.55,3.5
42,43,Komaram bheem asifabad,2016 - 2017,Kharif,cotton(lint),240.24,27.7,39.3,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.97,2.72
43,44,Komaram bheem asifabad,2017 - 2018,Kharif,cotton(lint),142.94,27.5,37.2,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,2.12
44,45,Komaram bheem asifabad,2018 - 2019,Kharif,cotton(lint),226.16,24,40.5,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.94,2.35
45,46,Komaram bheem asifabad,2019 - 2020,Kharif,cotton(lint),265.66,16.8,45,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,3.27
46,47,Mahabubabad,2016 - 2017,Kharif,cotton(lint),211.04,26.7,37.7,7.6,260,20,330,1.56,17.3,3.92,17.5,10.41,3.03
47,48,Mahabubabad,2017 - 2018,Kharif,cotton(lint),174.64,28.5,38.4,7.6,260,20,330,1.56,17.3,3.92,17.5,9.69,2.49
48,49,Mahabubabad,2018 - 2019,Kharif,cotton(lint),150.46,25.5333333333333,40.3,7.6,260,20,330,1.56,17.3,3.92,17.5,10.05,2.52
49,50,Mahabubabad,2019 - 2020,Kharif,cotton(lint),191.72,21.4,44.8,7.6,260,20,330,1.56,17.3,3.92,17.5,10.38,2.22
50,51,Mahabubnagar,2014 - 2015,Kharif,cotton(lint),81.06,26.1,38.8,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.9075,1.95
51,52,Mahabubnagar,2015 - 2016,Kharif,cotton(lint),76.1,26.8,37.7,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.9075,0.96
52,53,Mahabubnagar,2016 - 2017,Kharif,cotton(lint),119.08,26.3,35,7.5,97,35.02,268,0.75,9.8,0.71,8.8,18.41,1.75
53,54,Mahabubnagar,2017 - 2018,Kharif,cotton(lint),148.22,27.8,36,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.79,1.64
54,55,Mahabubnagar,2018 - 2019,Kharif,cotton(lint),87.62,25.34,38.02,7.5,97,35.02,268,0.75,9.8,0.71,8.8,16,1.29
55,56,Mahabubnagar,2019 - 2020,Kharif,cotton(lint),147.06,19.7,42.6,7.5,97,35.02,268,0.75,9.8,0.71,8.8,19.43,3.18
56,57,Mancherial,2016 - 2017,Kharif,cotton(lint),175.1,29,38.8,7.52,128,49.4,238,1.65,11.58,2.2,16,7.47,2.72
57,58,Mancherial,2017 - 2018,Kharif,cotton(lint),255.84,28.7,37.7,7.52,128,49.4,238,1.65,11.58,2.2,16,7.34,3.44
58,59,Mancherial,2018 - 2019,Kharif,cotton(lint),145.5,26.0666666666667,40.5666666666667,7.52,128,49.4,238,1.65,11.58,2.2,16,8.62,3.26
59,60,Mancherial,2019 - 2020,Kharif,cotton(lint),198.78,20.5,45.2,7.52,128,49.4,238,1.65,11.58,2.2,16,7.98,2.88
60,61,Medak,2014 - 2015,Kharif,cotton(lint),91.4,26.1,38.5,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,23.5925,1.75
61,62,Medak,2015 - 2016,Kharif,cotton(lint),98.76,24.9,36.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,23.5925,1.68
62,63,Medak,2016 - 2017,Kharif,cotton(lint),215.82,24.9,35,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,29.09,2.14
63,64,Medak,2017 - 2018,Kharif,cotton(lint),132.84,25.9,35.6,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,17.63,4.88
64,65,Medak,2018 - 2019,Kharif,cotton(lint),100.4,24.3,37.92,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,21.18,2.47
65,66,Medak,2019 - 2020,Kharif,cotton(lint),186.36,19.7,44.2,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,26.47,3.02
66,67,Medchal-Malkajgiri,2016 - 2017,Kharif,cotton(lint),198.12,24.7,35.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,16.33,1.59
67,68,Medchal-Malkajgiri,2017 - 2018,Kharif,cotton(lint),210.28,27.7,36.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,10.79,2.74
68,69,Medchal-Malkajgiri,2018 - 2019,Kharif,cotton(lint),91.14,24.0666666666667,38.4666666666667,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,12.63,2.14
69,70,Medchal-Malkajgiri,2019 - 2020,Kharif,cotton(lint),160.24,19.8,44,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,18.24,3.21
70,71,Mulug,2018 - 2019,Kharif,cotton(lint),240.884,21.8,44.2,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,0.5
71,72,Mulug,2019 - 2020,Kharif,cotton(lint),222.5,21.8,44.2,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,3.69
72,73,Nagarkurnool,2016 - 2017,Kharif,cotton(lint),110.26,27.3,35.8,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,20.52,1.75
73,74,Nagarkurnool,2017 - 2018,Kharif,cotton(lint),106.62,26.5,36,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,17.47,1.53
74,75,Nagarkurnool,2018 - 2019,Kharif,cotton(lint),72.82,24.6333333333333,38.8333333333333,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,13.32,0.89
75,76,Nagarkurnool,2019 - 2020,Kharif,cotton(lint),111.58,20.1,44.7,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,14.14,3.36
76,77,Nalgonda,2014 - 2015,Kharif,cotton(lint),93.52,28.9,41,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,13.95,1.64
77,78,Nalgonda,2015 - 2016,Kharif,cotton(lint),136.65,28.2,38,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,13.95,1.88
78,79,Nalgonda,2016 - 2017,Kharif,cotton(lint),118.0733333,28.6,38.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,16.14,1.65
79,80,Nalgonda,2017 - 2018,Kharif,cotton(lint),122.495,30.5,38.5,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.45,2.13
80,81,Nalgonda,2018 - 2019,Kharif,cotton(lint),118.588,27.44,40.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.4,1.74
81,82,Nalgonda,2019 - 2020,Kharif,cotton(lint),114.5433333,21,44.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,14.81,2.62
82,83,Narayanpet,2018 - 2019,Kharif,cotton(lint),92.66,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,0.22
83,84,Narayanpet,2019 - 2020,Kharif,cotton(lint),98.99333333,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,3.24
84,85,Nirmal,2016 - 2017,Kharif,cotton(lint),268.66,26.9,38.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,15.32,2.72
85,86,Nirmal,2017 - 2018,Kharif,cotton(lint),160.56,27.5,36.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,11.25,3.34
86,87,Nirmal,2018 - 2019,Kharif,cotton(lint),172.76,24.1333333333333,39.9666666666667,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.48,2.64
87,88,Nirmal,2019 - 2020,Kharif,cotton(lint),198.7,18,45.5,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.04,2.95
88,89,Nizamabad,2014 - 2015,Kharif,cotton(lint),103.5,28.1,40.6,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,16.2275,1.19
89,90,Nizamabad,2015 - 2016,Kharif,cotton(lint),90.82,27,38.5,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,16.2275,0.99
90,91,Nizamabad,2016 - 2017,Kharif,cotton(lint),273.02,26.1,36.8,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,21.23,2.31
91,92,Nizamabad,2017 - 2018,Kharif,cotton(lint),144.94,26.1,38.1,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,10.85,3.41
92,93,Nizamabad,2018 - 2019,Kharif,cotton(lint),168.88,24.98,40,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,15.63,2.88
93,94,Nizamabad,2019 - 2020,Kharif,cotton(lint),255.82,17.6,46,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,17.2,4.11
94,95,Peddapalli,2016 - 2017,Kharif,cotton(lint),210.42,27.4,38.6,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.61,3.2
95,96,Peddapalli,2017 - 2018,Kharif,cotton(lint),136.86,27,36.9,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,8.68,3.22
96,97,Peddapalli,2018 - 2019,Kharif,cotton(lint),226.54,25.1,40.1666666666667,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.52,3.16
97,98,Peddapalli,2019 - 2020,Kharif,cotton(lint),244.94,20.9,45,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.59,3.01
98,99,Rajanna Sircilla,2016 - 2017,Kharif,cotton(lint),218.46,25.8,36.7,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.95,3.2
99,100,Rajanna Sircilla,2017 - 2018,Kharif,cotton(lint),125.2,27.1,36.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,14.3,3.36
100,101,Rajanna Sircilla,2018 - 2019,Kharif,cotton(lint),129.3,23.9333333333333,39.2666666666667,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,15.06,2.69
101,102,Rajanna Sircilla,2019 - 2020,Kharif,cotton(lint),236.04,18.9,44.8,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.98,4.9
102,103,Rangareddy,2014 - 2015,Kharif,cotton(lint),71.84,26.6,38.2,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.745,1.74
103,104,Rangareddy,2015 - 2016,Kharif,cotton(lint),96.46,26.3,36.5,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.745,1.49
104,105,Rangareddy,2016 - 2017,Kharif,cotton(lint),133.64,25.1,34.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.44,1.6
105,106,Rangareddy,2017 - 2018,Kharif,cotton(lint),161.36,27,35.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.37,2.21
106,107,Rangareddy,2018 - 2019,Kharif,cotton(lint),83.84,24.8,37.92,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,17.24,1.24
107,108,Rangareddy,2019 - 2020,Kharif,cotton(lint),134.92,19,44.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.93,2.72
108,109,Sangareddy,2016 - 2017,Kharif,cotton(lint),213.84,24.8,35.5,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,23.9,2.14
109,110,Sangareddy,2017 - 2018,Kharif,cotton(lint),163.86,26.5,35.6,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,19.45,3.92
110,111,Sangareddy,2018 - 2019,Kharif,cotton(lint),86.58,23.1666666666667,38.6,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,17.53,1.9
111,112,Sangareddy,2019 - 2020,Kharif,cotton(lint),150.16,18.2,44.7,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,24.12,3.21
112,113,Siddipet,2016 - 2017,Kharif,cotton(lint),187.62,26.4,37.3,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,28.74,2.14
113,114,Siddipet,2017 - 2018,Kharif,cotton(lint),146.18,27.5,35.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.03,3.39
114,115,Siddipet,2018 - 2019,Kharif,cotton(lint),93.34,24.4333333333333,39.1666666666667,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.68,1.71
115,116,Siddipet,2019 - 2020,Kharif,cotton(lint),196.26,19.4,44.7,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,20.55,3.42
116,117,Suryapet,2016 - 2017,Kharif,cotton(lint),109.5,27.2,36.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,14.86,1.65
117,118,Suryapet,2017 - 2018,Kharif,cotton(lint),117.74,28.1,37.3,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.72,3.3
118,119,Suryapet,2018 - 2019,Kharif,cotton(lint),124.22,25.5666666666667,39.9666666666667,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.53,3.29
119,120,Suryapet,2019 - 2020,Kharif,cotton(lint),114.67,21.4,45.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.84,3.29
120,121,Vikarabad,2016 - 2017,Kharif,cotton(lint),197.64,26.1,34.1,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,19.05,1.6
121,122,Vikarabad,2017 - 2018,Kharif,cotton(lint),138.32,24.9,34,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,14.68,2.56
122,123,Vikarabad,2018 - 2019,Kharif,cotton(lint),93.6,23.2666666666667,36.7666666666667,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,16.05,2.1
123,124,Vikarabad,2019 - 2020,Kharif,cotton(lint),140.16,18.8,42.2,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,20.47,2.89
